Country Or Territory,NUTS1,NUTS1 Name,NUTS2,NUTS2 Name,NUTS3,NUTS3 Name,Urbanisation Degree,Year,Air Pollutant,Scenario,Population,Populated Area [km2],Air Pollution Average [ug/m3],Air Pollution Population Weighted Average [ug/m3],Premature Deaths,Premature Deaths - lower CI,Premature Deaths - upper CI,Years Of Life Lost,Years Of Life Lost - lower CI,Years Of Life Lost - upper CI
"Germany","DE3","Berlin","DE30","Berlin","DE300","Berlin","All Areas (incl.unclassified)","2010","PM10","WHO_2005_HRAPIE_Scen_Base","3337209","801","25.2","25.8","0","0","0","0","0","0"
"Germany","DE3","Berlin","DE30","Berlin","DE300","Berlin","All Areas (incl.unclassified)","2010","PM2.5","WHO_2005_HRAPIE_Scen_Base","3337209","801","19.6","19.9","3765","2505","4896","43062","28657","56006"
"Germany","DE3","Berlin","DE30","Berlin","DE300","Berlin","Urban","2010","NO2","WHO_2005_HRAPIE_Scen_Base","3203232","594","25.3","28.0","1339","773","1903","15321","8839","21765"
"Germany","DE3","Berlin","DE30","Berlin","DE300","Berlin","Urban","2010","O3","WHO_2005_HRAPIE_Scen_Base","3203232","594","3863.8","3835.3","98","47","145","1162","562","1721"
"Germany","DE3","Berlin","DE30","Berlin","DE300","Berlin","Urban","2010","PM10","WHO_2005_HRAPIE_Scen_Base","3203232","594","25.6","25.8","0","0","0","0","0","0"
"Germany","DE3","Berlin","DE30","Berlin","DE300","Berlin","Urban","2010","PM2.5","WHO_2005_HRAPIE_Scen_Base","3203232","594","19.8","19.9","3615","2406","4702","41354","27521","53784"
"Germany","DE3","Berlin","DE30","Berlin","DE300","Berlin","Suburban","2010","NO2","WHO_2005_HRAPIE_Scen_Base","125598","110","17.7","18.6","4","2","5","42","24","60"
"Germany","DE3","Berlin","DE30","Berlin","DE300","Berlin","Suburban","2010","O3","WHO_2005_HRAPIE_Scen_Base","125598","110","3896.0","3860.4","4","2","6","46","22","68"
"Germany","DE3","Berlin","DE30","Berlin","DE300","Berlin","Suburban","2010","PM10","WHO_2005_HRAPIE_Scen_Base","125598","110","25.0","25.1","0","0","0","0","0","0"
"Germany","DE3","Berlin","DE30","Berlin","DE300","Berlin","Suburban","2010","PM2.5","WHO_2005_HRAPIE_Scen_Base","125598","110","19.6","19.7","141","93","183","1607","1069","2091"
"Germany","DE3","Berlin","DE30","Berlin","DE300","Berlin","Rural","2010","NO2","WHO_2005_HRAPIE_Scen_Base","8379","97","14.3","14.8","0","0","0","0","0","0"
"Germany","DE3","Berlin","DE30","Berlin","DE300","Berlin","Rural","2010","O3","WHO_2005_HRAPIE_Scen_Base","8379","97","4243.3","4156.9","0","0","0","3","2","5"
"Germany","DE3","Berlin","DE30","Berlin","DE300","Berlin","Rural","2010","PM10","WHO_2005_HRAPIE_Scen_Base","8379","97","22.7","23.1","0","0","0","0","0","0"
"Germany","DE3","Berlin","DE30","Berlin","DE300","Berlin","Rural","2010","PM2.5","WHO_2005_HRAPIE_Scen_Base","8379","97","18.2","18.5","9","6","11","101","67","131"
"Germany","DE3","Berlin","DE30","Berlin","DE300","Berlin","All Areas (incl.unclassified)","2010","NO2","WHO_2021_AQG_Scen_Base","3337209","801","22.9","27.6","1143","579","2223","13069","6628","25421"
"Germany","DE3","Berlin","DE30","Berlin","DE300","Berlin","All Areas (incl.unclassified)","2010","O3","WHO_2021_AQG_Scen_Base","3337209","801","3914.2","3837.1","151","120","183","1794","1420","2167"
"Germany","DE3","Berlin","DE30","Berlin","DE300","Berlin","All Areas (incl.unclassified)","2010","PM10","WHO_2021_AQG_Scen_Base","3337209","801","25.2","25.8","0","0","0","0","0","0"
"Germany","DE3","Berlin","DE30","Berlin","DE300","Berlin","All Areas (incl.unclassified)","2010","PM2.5","WHO_2021_AQG_Scen_Base","3337209","801","19.6","19.9","3612","2773","4019","41330","31721","45969"
"Germany","DE3","Berlin","DE30","Berlin","DE300","Berlin","Urban","2010","NO2","WHO_2021_AQG_Scen_Base","3203232","594","25.3","28.0","1121","568","2179","12818","6501","24928"
"Germany","DE3","Berlin","DE30","Berlin","DE300","Berlin","Urban","2010","O3","WHO_2021_AQG_Scen_Base","3203232","594","3863.8","3835.3","145","115","176","1721","1362","2079"
"Germany","DE3","Berlin","DE30","Berlin","DE300","Berlin","Urban","2010","PM10","WHO_2021_AQG_Scen_Base","3203232","594","25.6","25.8","0","0","0","0","0","0"
"Germany","DE3","Berlin","DE30","Berlin","DE300","Berlin","Urban","2010","PM2.5","WHO_2021_AQG_Scen_Base","3203232","594","19.8","19.9","3470","2664","3860","39697","30469","44153"
"Germany","DE3","Berlin","DE30","Berlin","DE300","Berlin","Suburban","2010","NO2","WHO_2021_AQG_Scen_Base","125598","110","17.7","18.6","21","11","42","242","122","475"
"Germany","DE3","Berlin","DE30","Berlin","DE300","Berlin","Suburban","2010","O3","WHO_2021_AQG_Scen_Base","125598","110","3896.0","3860.4","6","5","7","68","54","82"
