,Messkomponente,Feinstaub (PM10),"Feinstaub (PM2,5)",Stickstoffdioxid,Stickstoffmonoxid,Stickoxide,Ozon,code
80,Sep 2016,21.0,,17.0,2.0,20.0,55.0,mc032
81,Okt 2016,21.0,,13.0,3.0,17.0,19.0,mc032
82,Nov 2016,19.0,,20.0,8.0,32.0,19.0,mc032
83,Dez 2016,17.0,,19.0,6.0,28.0,26.0,mc032
84,Jan 2017,22.0,20.0,22.0,3.0,26.0,31.0,mc032
85,Feb 2017,31.0,28.0,22.0,4.0,27.0,39.0,mc032
86,Mär 2017,15.0,11.0,14.0,1.0,16.0,53.0,mc032
87,Apr 2017,14.0,10.0,8.0,1.0,9.0,65.0,mc032
88,Mai 2017,17.0,11.0,10.0,0.0,10.0,66.0,mc032
89,Jun 2017,13.0,8.0,8.0,0.0,9.0,56.0,mc032
90,Jul 2017,15.0,9.0,7.0,0.0,7.0,47.0,mc032
91,Aug 2017,13.0,8.0,8.0,1.0,10.0,46.0,mc032
92,Sep 2017,15.0,10.0,10.0,1.0,12.0,32.0,mc032
93,Okt 2017,16.0,10.0,10.0,3.0,13.0,33.0,mc032
94,Nov 2017,15.0,12.0,14.0,2.0,18.0,28.0,mc032
95,Dez 2017,12.0,9.0,12.0,2.0,15.0,35.0,mc032
96,Jan 2018,15.0,12.0,14.0,3.0,19.0,37.0,mc032
97,Feb 2018,21.0,18.0,21.0,3.0,25.0,39.0,mc032
98,Mär 2018,23.0,19.0,18.0,2.0,20.0,48.0,mc032
99,Apr 2018,20.0,13.0,12.0,1.0,13.0,67.0,mc032
100,Mai 2018,20.0,10.0,10.0,0.0,11.0,76.0,mc032
101,Jun 2018,14.0,9.0,8.0,0.0,9.0,69.0,mc032
102,Jul 2018,11.0,7.0,11.0,1.0,12.0,69.0,mc032
103,Aug 2018,13.0,7.0,12.0,1.0,12.0,72.0,mc032
104,Sep 2018,15.0,8.0,13.0,1.0,15.0,55.0,mc032
105,Okt 2018,18.0,12.0,19.0,5.0,26.0,36.0,mc032
106,Nov 2018,24.0,21.0,21.0,10.0,36.0,15.0,mc032
107,Dez 2018,13.0,11.0,14.0,3.0,18.0,30.0,mc032
108,Jan 2019,15.0,13.0,13.0,1.0,15.0,42.0,mc032
109,Feb 2019,19.0,17.0,18.0,3.0,23.0,38.0,mc032
110,Mär 2019,12.0,10.0,8.0,1.0,9.0,60.0,mc032
111,Apr 2019,22.0,15.0,13.0,1.0,13.0,78.0,mc032
112,Mai 2019,12.0,8.0,9.0,1.0,10.0,65.0,mc032
113,Jun 2019,17.0,10.0,11.0,0.0,12.0,80.0,mc032
114,Jul 2019,14.0,8.0,9.0,1.0,11.0,61.0,mc032
115,Aug 2019,15.0,9.0,13.0,1.0,15.0,62.0,mc032
116,Sep 2019,12.0,7.0,12.0,2.0,14.0,46.0,mc032
117,Okt 2019,16.0,10.0,14.0,4.0,20.0,25.0,mc032
118,Nov 2019,21.0,16.0,17.0,4.0,23.0,15.0,mc032
119,Dez 2019,13.0,11.0,15.0,4.0,21.0,30.0,mc032
120,Jan 2020,14.0,11.0,13.0,2.0,16.0,36.0,mc032
121,Feb 2020,10.0,7.0,7.0,1.0,8.0,53.0,mc032
122,Mär 2020,16.0,12.0,11.0,1.0,12.0,58.0,mc032
123,Apr 2020,17.0,9.0,8.0,0.0,8.0,77.0,mc032
124,Mai 2020,11.0,6.0,7.0,0.0,8.0,61.0,mc032
125,Jun 2020,14.0,9.0,9.0,0.0,9.0,60.0,mc032
126,Jul 2020,11.0,6.0,7.0,1.0,8.0,50.0,mc032
127,Aug 2020,15.0,8.0,12.0,1.0,14.0,62.0,mc032
128,Sep 2020,15.0,8.0,12.0,2.0,15.0,42.0,mc032
129,Okt 2020,14.0,9.0,11.0,1.0,13.0,26.0,mc032
130,Nov 2020,13.0,11.0,12.0,3.0,16.0,24.0,mc032
131,Dez 2020,18.0,16.0,15.0,3.0,20.0,17.0,mc032
132,Jan 2021,12.0,10.0,10.0,1.0,11.0,32.0,mc032
133,Feb 2021,19.0,15.0,15.0,3.0,20.0,39.0,mc032
134,Mär 2021,16.0,12.0,10.0,2.0,12.0,52.0,mc032
135,Apr 2021,13.0,9.0,6.0,0.0,7.0,69.0,mc032
136,Mai 2021,11.0,6.0,5.0,0.0,5.0,62.0,mc032
137,Jun 2021,17.0,10.0,8.0,0.0,8.0,71.0,mc032
138,Jul 2021,16.0,9.0,8.0,1.0,9.0,51.0,mc032
139,Aug 2021,,,6.0,0.0,6.0,48.0,mc032
140,Sep 2021,17.0,11.0,7.0,1.0,8.0,38.0,mc032
141,Okt 2021,16.0,11.0,10.0,1.0,12.0,31.0,mc032
142,Nov 2021,16.0,13.0,11.0,2.0,15.0,28.0,mc032
143,Dez 2021,17.0,15.0,14.0,2.0,16.0,28.0,mc032
144,Jan 2022,13.0,11.0,8.0,2.0,8.0,45.0,mc032
145,Feb 2022,9.0,7.0,7.0,2.0,7.0,58.0,mc032
146,Mär 2022,,,14.0,2.0,15.0,58.0,mc032
147,Apr 2022,12.0,8.0,7.0,2.0,8.0,68.0,mc032
148,Mai 2022,14.0,7.0,7.0,2.0,7.0,65.0,mc032
149,Jun 2022,12.0,7.0,8.0,2.0,9.0,69.0,mc032
150,Jul 2022,10.0,6.0,9.0,2.0,10.0,63.0,mc032
151,Aug 2022,,,,,,,mc032
152,Sep 2022,10.0,6.0,12.0,2.0,14.0,37.0,mc032
153,Okt 2022,16.0,10.0,11.0,5.0,18.0,21.0,mc032
154,Nov 2022,18.0,15.0,14.0,5.0,21.0,17.0,mc032
