,Messkomponente,Feinstaub (PM10),"Feinstaub (PM2,5)",Stickstoffdioxid,Stickstoffmonoxid,Stickoxide,code
125,Jun 2020,19.0,11.0,33,22,67,mc124
126,Jul 2020,17.0,9.0,35,32,85,mc124
127,Aug 2020,22.0,12.0,33,17,59,mc124
128,Sep 2020,23.0,12.0,40,33,90,mc124
129,Okt 2020,19.0,12.0,31,34,83,mc124
130,Nov 2020,23.0,16.0,31,38,89,mc124
131,Dez 2020,26.0,21.0,24,24,61,mc124
132,Jan 2021,21.0,15.0,31,31,79,mc124
133,Feb 2021,34.0,21.0,40,36,95,mc124
134,Mär 2021,29.0,17.0,44,44,111,mc124
135,Apr 2021,21.0,12.0,34,24,71,mc124
136,Mai 2021,16.0,9.0,30,21,63,mc124
137,Jun 2021,20.0,13.0,33,19,63,mc124
138,Jul 2021,18.0,12.0,31,23,67,mc124
139,Aug 2021,15.0,9.0,30,24,67,mc124
140,Sep 2021,22.0,13.0,33,28,76,mc124
141,Okt 2021,23.0,14.0,33,31,80,mc124
142,Nov 2021,24.0,17.0,31,39,91,mc124
143,Dez 2021,25.0,19.0,31,33,82,mc124
144,Jan 2022,21.0,14.0,31,30,76,mc124
145,Feb 2022,17.0,10.0,27,20,58,mc124
146,Mär 2022,34.0,21.0,37,27,79,mc124
147,Apr 2022,20.0,11.0,29,17,55,mc124
148,Mai 2022,22.0,11.0,31,19,61,mc124
149,Jun 2022,22.0,11.0,30,16,54,mc124
150,Jul 2022,20.0,9.0,28,17,54,mc124
151,Aug 2022,24.0,12.0,28,14,49,mc124
152,Sep 2022,18.0,10.0,26,24,62,mc124
153,Okt 2022,23.0,14.0,30,31,78,mc124
154,Nov 2022,27.0,20.0,26,25,63,mc124
