date;code;PM10_day
13.11.22;mc077;25
14.11.22;mc077;33
15.11.22;mc077;30
16.11.22;mc077;22
17.11.22;mc077;17
18.11.22;mc077;18
19.11.22;mc077;13
20.11.22;mc077;16
21.11.22;mc077;20
22.11.22;mc077;23
23.11.22;mc077;29
24.11.22;mc077;37
25.11.22;mc077;28
26.11.22;mc077;21
27.11.22;mc077;21
28.11.22;mc077;25
29.11.22;mc077;36
30.11.22;mc077;42
01.12.22;mc077;35
02.12.22;mc077;27
03.12.22;mc077;37
04.12.22;mc077;44
05.12.22;mc077;28
06.12.22;mc077;12
07.12.22;mc077;11
08.12.22;mc077;14
09.12.22;mc077;19
10.12.22;mc077;18
11.12.22;mc077;16
12.12.22;mc077;12
13.12.22;mc077;22
01.10.22;mc085;
02.10.22;mc085;
03.10.22;mc085;
04.10.22;mc085;10
05.10.22;mc085;11
06.10.22;mc085;11
07.10.22;mc085;14
08.10.22;mc085;13
09.10.22;mc085;10
10.10.22;mc085;12
11.10.22;mc085;11
12.10.22;mc085;14
13.10.22;mc085;21
14.10.22;mc085;22
15.10.22;mc085;15
16.10.22;mc085;9
17.10.22;mc085;16
18.10.22;mc085;17
19.10.22;mc085;9
20.10.22;mc085;11
21.10.22;mc085;17
22.10.22;mc085;17
23.10.22;mc085;15
24.10.22;mc085;11
25.10.22;mc085;12
26.10.22;mc085;13
27.10.22;mc085;15
28.10.22;mc085;18
29.10.22;mc085;26
30.10.22;mc085;29
31.10.22;mc085;36
01.11.22;mc085;24
02.11.22;mc085;11
03.11.22;mc085;12
04.11.22;mc085;18
05.11.22;mc085;13
06.11.22;mc085;12
07.11.22;mc085;9
08.11.22;mc085;8
09.11.22;mc085;9
10.11.22;mc085;9
11.11.22;mc085;11
12.11.22;mc085;16
13.11.22;mc085;19
14.11.22;mc085;28
15.11.22;mc085;27
16.11.22;mc085;22
17.11.22;mc085;17
18.11.22;mc085;20
19.11.22;mc085;15
20.11.22;mc085;16
21.11.22;mc085;20
22.11.22;mc085;22
23.11.22;mc085;25
24.11.22;mc085;34
25.11.22;mc085;23
26.11.22;mc085;19
27.11.22;mc085;18
28.11.22;mc085;23
29.11.22;mc085;31
30.11.22;mc085;38
01.12.22;mc085;32
